Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iraq,0.1,0.5,0.6,0.9,0.9,0.952344244,0.93,1,1.06,2.5,5,7.1,9.2,13.21,58,21.23,49.35999889,NA
Ireland,23.13881219,25.85,34.31,36.99,41.61,54.82,61.15832455,65.34,67.38,69.85,74.88997297,76.91999254,78.2477,83.49172234,83.49479167,85.01113212,84.11400706,84.52230206
Israel,17.37862386,17.76459906,19.59339366,22.77048553,25.19404242,27.88107446,48.12806219,59.39,63.12,67.5,68.87387799,70.8,70.25031195,75.01775316,77.35208966,79.65312418,81.58118359,NA
Italy,27.22211698,28.04,29.04,33.24,35,37.99,40.79,44.53,48.83,53.68,54.3899983,55.82999799,58.4593,55.63846022,58.14173496,61.32425277,63.077347,74.38718292
Jamaica,3.863020387,6.1,7.8,10,12.8,16.4,21.1,23.6,24.3,27.67,37.43861341,33.79,37.1,40.4027351,42.22122119,44.36685637,55.07206705,NA
Japan,38.53206086,46.59420112,48.43526589,62.39392963,66.9210661,68.68527032,74.3,75.4,78,78.21,79.05411352,79.4964,88.21942891,89.10683302,91.05802839,93.18272128,84.58806583,NA
Jordan,4.705719581,6.025532412,8.466005016,11.65874137,12.93285205,13.86710879,20,23,26,27.2,34.9,37,41.4,46.2,60.11438269,62.30219257,66.79031443,NA
Kazakhstan,1.006124211,1.674770995,2.000414753,2.650394657,2.961707492,3.268369051,4.02,11,18.2,31.6,50.6,61.90662747,63.30422443,66,70.8299336,74.58772647,76.42674823,78.90391906
Kenya,0.619782266,1.207773885,2.941902861,3.023528042,3.101897702,3.6,4.4,5.2,6.1,7.2,8.8,10.5,13,16.5,16.58785485,16.6,17.82710021,NA
Kiribati,2.337458948,2.5,3,3.5,4,4.5,6,7,8.97,9.07,10,10.74679768,11.5,12.25,12.99748389,13.7,14.58181818,NA
Korea, Dem. People's Rep.,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Korea, Rep.,56.6,59.4,65.5,72.7,73.5,78.1,78.8,81,81.6,83.7,83.75912015,84.07,84.77,87.55682649,89.9,92.84302568,95.06942188,95.8982922
Kuwait,8.551792434,10.24896793,22.40293838,22.92711204,25.92610837,28.79119795,34.8,42,50.8,61.4,65.76907069,70.45,75.46,78.7,72,78.36738376,100,99.59999254
Kyrgyz Republic,3.002941327,2.99926518,3.908766268,5.090385307,10.53380134,12.306907,14.03,15.7,16,16.3,17.5,19.8,23,28.3,30.24704278,37,38,NA
Lao PDR,0.181664461,0.267899241,0.333912466,0.36143449,0.85035749,1.169893428,1.64,3.55,6,7,9,10.74767619,12.5,14.26,18.2,21.87,25.51043508,NA
Late-demographic dividend,3.55747178216918,5.90932695274287,8.02143040002656,10.3622113848682,12.276064267482,15.1227721111703,19.9670577926792,25.1970113838955,30.6000245197995,36.0373430789403,40.0504438820558,44.7107617642673,48.3719501812901,50.9167210254677,53.3764299189056,56.7518719524748,59.2428246580459,NA
Latin America & Caribbean,5.63092332270643,8.8525507158455,11.2655071338012,14.3980321275045,16.6160568076105,20.7533781651469,23.7118466918057,26.5140437979054,31.0392955545167,34.7021411941668,39.3384906810595,43.162893355839,46.2373336353434,48.6070157052375,54.6161404800067,57.3546142720724,63.2182251081363,NA
Latin America & Caribbean (excluding high income),5.05521295760111,8.30761726696173,10.6795916839166,13.8614421195736,16.0690648817222,20.2159986601238,23.2083512265624,25.9309086674706,30.4710562562741,34.1500352706399,38.7184241703132,42.5123440350122,45.6077222196903,48.0944207075344,53.7904404045165,56.3874741374659,62.5334296402516,NA
